[2025-08-09 16:21:30.561] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_reports_export | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.561] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_reports_export | Args: NoneType | Result: str | Time: 2.4557113647460938e-05
[2025-08-09 16:21:30.667] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | refresh_all_displays | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.667] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_header | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.667] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_header_info | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.668] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_header_info | Args: NoneType | Result: str | Time: 3.504753112792969e-05
[2025-08-09 16:21:30.669] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_overview | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.763] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_detectors | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.763] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_ict_detectors | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.763] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_ict_detectors | Args: NoneType | Result: str | Time: 4.673004150390625e-05
[2025-08-09 16:21:30.764] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_performance | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.764] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_performance_metrics | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.764] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_performance_metrics | Args: NoneType | Result: str | Time: 2.7418136596679688e-05
[2025-08-09 16:21:30.767] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_analysis | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.767] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_technical_analysis | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.768] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_technical_analysis | Args: NoneType | Result: str | Time: 5.269050598144531e-05
[2025-08-09 16:21:30.769] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_reports | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.769] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_reports_export | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.769] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_reports_export | Args: NoneType | Result: str | Time: 2.8133392333984375e-05
[2025-08-09 16:21:30.883] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | force_initial_content | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.883] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_header | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.883] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_header_info | Args: NoneType | Result: NoneType | Time: None
[2025-08-09 16:21:30.883] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | render_header_info | Args: NoneType | Result: str | Time: 3.62396240234375e-05
[2025-08-09 16:21:30.884] [ICT_Dashboard_BlackBox_func] [DEBUG] [track_function_call:177] FUNC_CALL | _update_overview | Args: NoneType | Result: NoneType | Time: None
