2025-08-05 12:12:25 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:12:25 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:12:25 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:12:25 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:12:25 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:12:25 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:12:25 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:16:56 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:16:56 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:16:56 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:16:57 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:16:57 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:16:57 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:16:57 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:16:57 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:16:57 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:16:57 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:16:57 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:19:50 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:19:50 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:19:50 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:19:50 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:19:50 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:19:50 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:19:50 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:19:50 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:19:50 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:19:50 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:19:50 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:21:04 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:21:04 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:21:04 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:21:04 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:21:04 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:21:04 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:21:04 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:21:04 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:21:04 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:21:04 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:21:04 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:24:02 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:24:02 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:24:02 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:24:02 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:24:02 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:24:02 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:24:02 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:24:02 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:24:02 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:24:02 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:24:02 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:24:14 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:24:14 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:24:14 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:24:14 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:24:14 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:24:14 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:24:14 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:24:14 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:24:15 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:24:15 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:24:15 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:26:39 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:26:39 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:26:39 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:26:39 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:26:39 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:26:39 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:26:39 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:26:39 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:26:39 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:26:39 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:26:39 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:28:59 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:28:59 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:28:59 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:28:59 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:28:59 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:28:59 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:28:59 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:28:59 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:28:59 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:28:59 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:28:59 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:33:46 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:33:46 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
2025-08-05 12:33:46 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] core\risk_management\riskbot_mt5.py: Protocolo cumplido
2025-08-05 12:33:46 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: scripts\resumen_cambios_mt5.py
2025-08-05 12:33:46 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en scripts\resumen_cambios_mt5.py:2
2025-08-05 12:33:46 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:81
2025-08-05 12:33:46 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: print_logging en scripts\resumen_cambios_mt5.py:85
2025-08-05 12:33:46 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] scripts\resumen_cambios_mt5.py: Protocolo cumplido
2025-08-05 12:33:46 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: utils\mt5_data_manager.py
2025-08-05 12:33:46 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en utils\mt5_data_manager.py:31
2025-08-05 12:33:46 | INFO     | SMART.MT5.__MAIN__        | [SUCCESS] utils\mt5_data_manager.py: Protocolo cumplido
2025-08-05 12:34:43 | DEBUG    | SMART.MT5.__MAIN__        | [SYMBOL] Validando: core\risk_management\riskbot_mt5.py
2025-08-05 12:34:43 | ERROR    | SMART.MT5.__MAIN__        | [FAILED] VIOLACIÓN: Uso prohibido: reimport_enviar_senal en core\risk_management\riskbot_mt5.py:4
