2025-08-05 10:11:20 | DEBUG    | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [TIMER] Tiempo hasta Asia-Pacific: 5h 49m
2025-08-05 10:11:20 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:20 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:20 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:29 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:29 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:29 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:39 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:39 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:39 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:49 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:49 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:49 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:54 | DEBUG    | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [TIMER] Tiempo hasta Asia-Pacific: 5h 49m
2025-08-05 10:11:59 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:59 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:11:59 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:09 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | [SUCCESS] MT5.order_send DISPONIBLE
2025-08-05 10:12:09 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | [SUCCESS] MT5.orders_get DISPONIBLE
2025-08-05 10:12:09 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | RiskBot integrado para volumen dinámico
2025-08-05 10:12:09 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Gestor DUAL de órdenes límite inicializado (CONSERVADOR + AGRESIVO)
2025-08-05 10:12:09 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | SIN SL/TP automáticos - RiskBot y Bollinger gestionan riesgo
2025-08-05 10:12:09 | DEBUG    | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Volumen dinámico: 0.5 (vs fijo: 0.05)
2025-08-05 10:12:09 | INFO     | SMART.TRADING.CORE.LIMIT_ORDER_MANAGER | Volumen dinámico inicial: 0.5 lotes
2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
2025-08-05 10:12:09 | INFO     | SMART.TRADING.SISTEMA.TRADING_SCHEDULE | [SYMBOL] Trading Schedule Manager inicializado correctamente
