time,open,high,low,close,tick_volume,spread,real_volume
1753722000,1.16332,1.16473,1.16307,1.16372,3570,2,0
1753725600,1.16372,1.16392,1.16079,1.16088,3106,2,0
1753729200,1.16089,1.16107,1.15982,1.15991,2157,2,0
1753732800,1.15991,1.16012,1.15894,1.15922,1763,2,0
1753736400,1.15922,1.15946,1.15852,1.15946,1568,2,0
1753740000,1.15944,1.1596,1.1589,1.15914,1317,2,0
1753743600,1.15914,1.1594,1.15861,1.15881,977,3,0
1753747200,1.15877,1.159,1.15872,1.15896,464,24,0
1753750800,1.15896,1.15942,1.15872,1.1593499999999999,891,3,0
1753754400,1.15937,1.15967,1.15891,1.15964,690,2,0
1753758000,1.15964,1.15976,1.15842,1.15849,1633,2,0
1753761600,1.15849,1.15982,1.15849,1.1591,1751,2,0
1753765200,1.1591,1.15992,1.15909,1.1596899999999999,1469,2,0
1753768800,1.1596899999999999,1.15984,1.15814,1.15828,1314,2,0
1753772400,1.15828,1.15887,1.15744,1.15886,1491,2,0
1753776000,1.15886,1.15901,1.15768,1.15788,1411,2,0
1753779600,1.15788,1.15858,1.15316,1.15338,3497,2,0
1753783200,1.1534,1.15548,1.15267,1.15548,4227,2,0
1753786800,1.15543,1.15694,1.15524,1.15689,2692,2,0
1753790400,1.1569099999999999,1.15848,1.1562999999999999,1.15766,2608,2,0
1753794000,1.15766,1.15882,1.15725,1.1574,1995,2,0
1753797600,1.1574,1.15747,1.15374,1.154,3007,2,0
1753801200,1.15399,1.15421,1.15247,1.15247,2980,2,0
1753804800,1.15247,1.15468,1.15188,1.15461,3592,2,0
1753808400,1.15458,1.15514,1.15213,1.15228,5076,2,0
1753812000,1.15228,1.15409,1.15218,1.15334,3164,2,0
1753815600,1.15334,1.15494,1.15334,1.1541299999999999,2350,2,0
1753819200,1.15412,1.15604,1.15399,1.15415,2585,2,0
1753822800,1.15415,1.15504,1.15375,1.15502,1863,2,0
1753826400,1.15502,1.15574,1.15489,1.1549800000000001,1661,2,0
1753830000,1.15496,1.15525,1.1544699999999999,1.15449,828,3,0
1753833600,1.1544699999999999,1.15476,1.15446,1.15475,277,24,0
1753837200,1.15491,1.15504,1.15464,1.15495,648,3,0
1753840800,1.15496,1.1551,1.15466,1.1551,686,2,0
1753844400,1.1550799999999999,1.15677,1.1550799999999999,1.15671,1959,2,0
1753848000,1.1567,1.15726,1.15602,1.15641,2191,2,0
1753851600,1.15642,1.15684,1.15604,1.15634,1331,2,0
1753855200,1.15634,1.15705,1.15578,1.15618,1350,2,0
1753858800,1.15617,1.15619,1.15501,1.15511,1194,2,0
1753862400,1.15511,1.15597,1.15481,1.15499,1672,2,0
1753866000,1.15499,1.15606,1.15401,1.15566,2508,2,0
1753869600,1.15566,1.15685,1.15513,1.1553499999999999,2493,2,0
1753873200,1.1553499999999999,1.1559300000000001,1.15486,1.15567,2141,2,0
1753876800,1.15566,1.15604,1.15448,1.15518,2212,2,0
1753880400,1.15516,1.15548,1.15322,1.15393,2098,2,0
1753884000,1.15393,1.15407,1.1522000000000001,1.15312,2253,2,0
1753887600,1.15314,1.15346,1.1469,1.1473,4850,2,0
1753891200,1.1473,1.14808,1.14579,1.14694,4833,2,0
1753894800,1.14692,1.14819,1.14649,1.14804,3375,2,0
1753898400,1.14804,1.14849,1.14635,1.14688,2590,2,0
1753902000,1.14697,1.14743,1.14646,1.14738,2200,2,0
1753905600,1.14738,1.14819,1.14738,1.14789,1827,2,0
1753909200,1.14788,1.15033,1.1424400000000001,1.1424400000000001,7437,2,0
1753912800,1.14246,1.14359,1.1414,1.14239,4728,2,0
1753916400,1.14238,1.14294,1.14021,1.14056,1913,3,0
1753920000,1.1404,1.14093,1.14022,1.14077,763,24,0
1753923600,1.14075,1.14242,1.14049,1.14225,1141,3,0
1753927200,1.14225,1.14304,1.14194,1.14283,1004,2,0
1753930800,1.1428099999999999,1.14374,1.14279,1.14341,2142,2,0
1753934400,1.14341,1.1438,1.14234,1.14304,2222,2,0
1753938000,1.1430500000000001,1.14317,1.1421000000000001,1.14292,2077,2,0
1753941600,1.14294,1.14343,1.14074,1.14233,1964,2,0
1753945200,1.14233,1.14364,1.14192,1.14354,1537,2,0
1753948800,1.14353,1.14429,1.14307,1.14367,1822,2,0
1753952400,1.1436600000000001,1.14608,1.14352,1.14585,2886,2,0
1753956000,1.14583,1.14583,1.1433,1.14487,2839,2,0
1753959600,1.14487,1.1455,1.1438,1.145,2648,2,0
1753963200,1.145,1.1451,1.14324,1.1433,2074,2,0
1753966800,1.1433,1.14413,1.14206,1.14396,2081,2,0
1753970400,1.14396,1.14508,1.14359,1.14494,2520,2,0
1753974000,1.14492,1.14508,1.14248,1.14286,3726,2,0
1753977600,1.14286,1.14298,1.1406,1.14112,3709,2,0
